"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/09/2019 01:00,24.1,14.9,11.5,1.002
1/09/2019 02:00,17.9,4.2,10.8,1.002
1/09/2019 03:00,7.2,5.3,10.6,1.001
1/09/2019 04:00,7.2,5.1,10.2,1.000
1/09/2019 05:00,6.8,2.2,9.9,1.000
1/09/2019 06:00,7.8,1.4,10.1,1.001
1/09/2019 07:00,7.9,3.1,10.6,1.002
1/09/2019 08:00,10.0,5.4,11.6,1.003
1/09/2019 09:00,7.8,9.8,13.5,1.003
1/09/2019 10:00,8.6,7.7,13.9,1.004
1/09/2019 11:00,12.0,7.6,15.6,1.004
1/09/2019 12:00,15.6,13.0,15.7,1.004
1/09/2019 13:00,22.9,8.6,16.2,1.004
1/09/2019 14:00,18.7,5.9,16.6,1.004
1/09/2019 15:00,15.6,4.1,16.2,1.004
1/09/2019 16:00,14.8,3.1,15.7,1.004
1/09/2019 17:00,13.8,3.3,15.0,1.005
1/09/2019 18:00,20.0,5.8,13.7,1.005
1/09/2019 19:00,23.8,7.3,12.7,1.005
1/09/2019 20:00,26.5,9.5,11.2,1.006
1/09/2019 21:00,14.1,7.4,10.2,1.006
1/09/2019 22:00,16.1,11.2,9.4,1.006
1/09/2019 23:00,17.1,10.4,9.1,1.006
2/09/2019 00:00,13.4,4.2,8.8,1.005
2/09/2019 01:00,11.0,6.7,8.3,1.005
2/09/2019 02:00,14.9,9.2,8.0,1.004
2/09/2019 03:00,11.1,5.3,7.4,1.004
2/09/2019 04:00,7.6,1.0,7.8,1.003
2/09/2019 05:00,4.1,2.5,8.6,1.004
2/09/2019 06:00,8.7,1.8,9.8,1.003
2/09/2019 07:00,10.6,2.7,10.4,1.003
2/09/2019 08:00,11.3,3.7,12.5,1.002
2/09/2019 09:00,6.9,11.1,16.6,1.001
2/09/2019 10:00,9.7,8.8,17.7,1.001
2/09/2019 11:00,7.5,0.6,20.2,1.000
2/09/2019 12:00,11.9,7.2,19.3,1.001
2/09/2019 13:00,18.5,3.4,20.2,1.001
2/09/2019 14:00,17.7,7.6,20.2,1.000
2/09/2019 15:00,17.2,2.7,21.4,0.999
2/09/2019 16:00,20.9,4.4,22.9,0.998
2/09/2019 17:00,23.4,3.6,22.5,0.998
2/09/2019 18:00,21.9,3.9,21.1,0.998
2/09/2019 19:00,27.0,10.8,18.9,0.998
2/09/2019 20:00,24.7,9.0,18.5,0.998
2/09/2019 21:00,25.6,8.9,17.2,0.999
2/09/2019 22:00,27.6,14.0,16.4,0.999
2/09/2019 23:00,23.0,10.8,14.5,0.999
3/09/2019 00:00,22.4,10.3,14.0,1.000
3/09/2019 01:00,18.1,9.5,12.2,1.000
3/09/2019 02:00,14.1,6.4,11.3,1.000
3/09/2019 03:00,12.9,9.3,11.1,1.000
3/09/2019 04:00,18.4,6.3,10.7,1.001
3/09/2019 05:00,17.8,6.9,10.0,1.001
3/09/2019 06:00,14.1,7.4,9.4,1.001
3/09/2019 07:00,16.4,4.2,8.7,1.001
3/09/2019 08:00,20.7,8.7,9.0,1.001
3/09/2019 09:00,24.3,11.0,9.8,1.002
3/09/2019 10:00,19.8,12.3,10.7,1.002
3/09/2019 11:00,8.8,11.4,12.5,1.002
3/09/2019 12:00,4.9,,15.2,1.002
3/09/2019 13:00,6.1,11.2,17.9,1.001
3/09/2019 14:00,22.6,22.3,17.5,1.001
3/09/2019 15:00,19.2,16.0,18.0,1.000
3/09/2019 16:00,15.5,5.2,18.7,1.000
3/09/2019 17:00,15.2,,17.6,1.000
3/09/2019 18:00,16.7,4.0,16.1,1.001
3/09/2019 19:00,10.5,6.3,14.8,1.001
3/09/2019 20:00,18.3,9.6,13.7,1.001
3/09/2019 21:00,21.1,14.1,12.3,1.002
3/09/2019 22:00,23.8,12.9,11.3,1.002
3/09/2019 23:00,20.9,10.6,10.9,1.002
4/09/2019 00:00,17.8,13.0,10.8,1.001
4/09/2019 01:00,,,11.1,1.001
4/09/2019 02:00,8.7,7.3,11.1,1.001
4/09/2019 03:00,4.9,2.5,12.1,0.999
4/09/2019 04:00,5.4,2.7,11.8,0.999
4/09/2019 05:00,9.6,5.0,12.2,1.000
4/09/2019 06:00,9.3,6.3,11.2,1.001
4/09/2019 07:00,9.6,5.4,10.9,1.001
4/09/2019 08:00,8.2,-0.8,10.6,1.002
4/09/2019 09:00,4.5,0.1,11.0,1.002
4/09/2019 10:00,,,11.7,1.002
4/09/2019 11:00,6.1,7.2,11.5,1.002
4/09/2019 12:00,5.5,4.5,11.9,1.001
4/09/2019 13:00,,3.3,14.7,1.000
4/09/2019 14:00,1.2,4.7,16.6,0.999
4/09/2019 15:00,17.4,8.0,17.7,0.999
4/09/2019 16:00,14.2,8.1,16.9,0.999
4/09/2019 17:00,13.6,4.7,15.7,0.998
4/09/2019 18:00,10.4,5.8,15.7,0.997
4/09/2019 19:00,20.9,14.6,15.0,0.998
4/09/2019 20:00,30.6,18.4,14.8,0.998
4/09/2019 21:00,28.9,15.2,14.5,0.998
4/09/2019 22:00,28.6,17.9,14.4,0.998
4/09/2019 23:00,24.6,12.5,14.3,0.998
5/09/2019 00:00,27.5,9.1,13.6,0.998
5/09/2019 01:00,15.1,7.4,13.5,0.998
5/09/2019 02:00,10.6,3.1,13.5,0.997
5/09/2019 03:00,8.8,5.0,13.3,0.997
5/09/2019 04:00,8.2,5.3,12.9,0.997
5/09/2019 05:00,10.0,3.7,12.3,0.997
5/09/2019 06:00,8.2,2.9,11.9,0.996
5/09/2019 07:00,9.6,6.0,12.4,0.996
