Date/Time,PM10 BAM ug/m3,PM2.5 BAM ug/m3,Temperature Deg C,Barometric Pressure atm
1/11/2019 1:00,,12.9,29.4,0.987
1/11/2019 2:00,,10.1,28.6,0.987
1/11/2019 3:00,,5,27.9,0.987
1/11/2019 4:00,,8.7,27.6,0.988
1/11/2019 5:00,,10,26.9,0.988
1/11/2019 6:00,,8.7,26.6,0.989
1/11/2019 7:00,,9.6,27.3,0.989
1/11/2019 8:00,,8,29.5,0.989
1/11/2019 9:00,,7.4,30.7,0.989
1/11/2019 10:00,,10.2,30.6,0.989
1/11/2019 11:00,,6.9,30.9,0.989
1/11/2019 12:00,,17,29.2,0.988
1/11/2019 13:00,,15.5,28.5,0.988
1/11/2019 14:00,,17.6,27.8,0.988
1/11/2019 15:00,,14.7,27.8,0.987
1/11/2019 16:00,,12.9,24.5,0.987
1/11/2019 17:00,,19.8,24.7,0.987
1/11/2019 18:00,,16.1,22.6,0.99
1/11/2019 19:00,,3.3,19.6,0.992
1/11/2019 20:00,,0.6,17.7,0.994
1/11/2019 21:00,,,17.6,0.992
1/11/2019 22:00,,4.4,17.5,0.993
1/11/2019 23:00,,5.7,17.2,0.992
2/11/2019 0:00,,-0.2,17.1,0.991
2/11/2019 1:00,,10,17.3,0.991
2/11/2019 2:00,,6.6,17.3,0.991
2/11/2019 3:00,,6.1,17.4,0.991
2/11/2019 4:00,,5.2,17.5,0.992
2/11/2019 5:00,,4.4,17.6,0.992
2/11/2019 6:00,,3.4,17.6,0.992
2/11/2019 7:00,,4.7,17.9,0.993
2/11/2019 8:00,,4.2,18.1,0.993
2/11/2019 9:00,,11.7,18.6,0.993
2/11/2019 10:00,,10.7,18.9,0.993
2/11/2019 11:00,,5.6,19.9,0.993
2/11/2019 12:00,,7.1,23.6,0.993
2/11/2019 13:00,,9.6,23.9,0.992
2/11/2019 14:00,,10,23.5,0.992
2/11/2019 15:00,,2.1,23.3,0.992
2/11/2019 16:00,,0.2,22.8,0.992
2/11/2019 17:00,,3.9,22.2,0.992
2/11/2019 18:00,,6.9,21.5,0.993
2/11/2019 19:00,,6.4,20.5,0.993
2/11/2019 20:00,,2.6,19.7,0.994
2/11/2019 21:00,,3.5,18.8,0.995
2/11/2019 22:00,,-1,18,0.996
2/11/2019 23:00,,2.9,17.8,0.996
3/11/2019 0:00,,5.1,17,0.996
3/11/2019 1:00,,5.8,16.7,0.996
3/11/2019 2:00,,6.5,16.6,0.995
3/11/2019 3:00,,2.7,16.5,0.995
3/11/2019 4:00,,0.6,16.3,0.995
3/11/2019 5:00,,8.2,15.9,0.996
3/11/2019 6:00,,12.1,16.6,0.997
3/11/2019 7:00,,0.7,16.9,0.998
3/11/2019 8:00,,1.7,17.7,0.998
3/11/2019 9:00,,4.4,18.2,0.998
3/11/2019 10:00,,2.9,19.8,0.999
3/11/2019 11:00,,5.3,20,0.999
3/11/2019 12:00,,1,22.4,0.999
3/11/2019 13:00,,6.7,21.2,0.999
3/11/2019 14:00,,2.9,19.5,0.999
3/11/2019 15:00,,1.6,18.9,0.999
3/11/2019 16:00,,2.5,18.4,0.999
3/11/2019 17:00,,14.7,18.1,0.999
3/11/2019 18:00,,8.6,17.7,1
3/11/2019 19:00,,6.7,17.1,1
3/11/2019 20:00,,4.5,16.3,1.001
3/11/2019 21:00,,5.7,16.1,1.001
3/11/2019 22:00,,3.8,15.9,1.001
3/11/2019 23:00,,2.8,15.8,1.001
4/11/2019 0:00,,4,15.8,1.001
4/11/2019 1:00,,6.3,15.7,1.001
4/11/2019 2:00,,2.1,15.6,1
4/11/2019 3:00,,2.4,15.7,1
4/11/2019 4:00,,-0.2,15.4,1
4/11/2019 5:00,,1.5,14.3,1
4/11/2019 6:00,,2.6,14.5,1.001
4/11/2019 7:00,,7.9,15.2,1.002
4/11/2019 8:00,,8.3,15.9,1.003
4/11/2019 9:00,,20.3,16.7,1.004
4/11/2019 10:00,,11.2,18.5,1.004
4/11/2019 11:00,,5.8,19.6,1.004
4/11/2019 12:00,,5.6,20.2,1.004
4/11/2019 13:00,,4.7,19.5,1.004
4/11/2019 14:00,,5.8,18.6,1.004
4/11/2019 15:00,,7.7,17.9,1.004
4/11/2019 16:00,,5.8,17.8,1.004
4/11/2019 17:00,,-1.7,17.6,1.005
4/11/2019 18:00,,4.8,17,1.005
4/11/2019 19:00,,6.3,16.5,1.006
4/11/2019 20:00,,4.7,15.9,1.006
4/11/2019 21:00,,8.1,15.1,1.006
4/11/2019 22:00,,4.8,14.5,1.007
4/11/2019 23:00,,3.9,14.6,1.007
5/11/2019 0:00,,0.4,15.1,1.007
5/11/2019 1:00,,11.9,14.9,1.006
5/11/2019 2:00,,6,14.7,1.006
5/11/2019 3:00,,5.2,14.4,1.005
5/11/2019 4:00,,5.1,14,1.005
5/11/2019 5:00,,2.7,13.5,1.005
5/11/2019 6:00,,7,12.7,1.005
5/11/2019 7:00,,6.7,13.6,1.006
5/11/2019 8:00,,2.7,16.1,1.006
5/11/2019 9:00,,14.3,17,1.005
5/11/2019 10:00,,7.4,19.8,1.005
5/11/2019 11:00,,4.3,22.4,1.004
5/11/2019 12:00,,7.8,24.2,1.002
5/11/2019 13:00,,6,24,1.002
5/11/2019 14:00,,7,22.9,1.002
5/11/2019 15:00,,6.7,22.9,1.001
5/11/2019 16:00,,3.3,23,1
5/11/2019 17:00,,0.4,22.9,1
5/11/2019 18:00,,10.2,21.4,1
5/11/2019 19:00,,6.2,19,1
5/11/2019 20:00,,2.6,17.5,1
5/11/2019 21:00,,2.8,16.9,1
5/11/2019 22:00,,7.9,16.2,0.999
5/11/2019 23:00,,3.9,16,0.999
6/11/2019 0:00,,6.2,15.7,0.998
6/11/2019 1:00,,7.8,15.9,0.997
6/11/2019 2:00,,5.2,16,0.996
6/11/2019 3:00,,8.5,15,0.996
6/11/2019 4:00,,5.1,14.9,0.996
6/11/2019 5:00,,8,15.3,0.996
6/11/2019 6:00,,6.5,15.3,0.996
6/11/2019 7:00,,4.6,16.1,0.996
6/11/2019 8:00,,7.9,19,0.996
6/11/2019 9:00,,4,19.7,0.996
6/11/2019 10:00,,5.9,21.5,0.996
6/11/2019 11:00,,10.9,22.5,0.996
6/11/2019 12:00,,13.4,22.5,0.995
6/11/2019 13:00,,8.7,21.3,0.995
6/11/2019 14:00,,14,19.8,0.995
6/11/2019 15:00,,4.9,19.4,0.994
6/11/2019 16:00,,6.8,19.3,0.994
6/11/2019 17:00,,14.6,18.8,0.994
6/11/2019 18:00,,11.8,17.5,0.995
6/11/2019 19:00,,8.8,16.5,0.995
6/11/2019 20:00,,10.6,16.7,0.995
6/11/2019 21:00,,13.7,16.2,0.996
6/11/2019 22:00,,8.7,16.3,0.996
6/11/2019 23:00,,9.5,16.2,0.996
7/11/2019 0:00,,8.3,15.9,0.995
7/11/2019 1:00,,5.5,14.7,0.995
7/11/2019 2:00,,11.1,15.5,0.995
7/11/2019 3:00,,2.6,15.3,0.995
7/11/2019 4:00,,-1.8,15.3,0.994
7/11/2019 5:00,,1.6,14.5,0.994
7/11/2019 6:00,,11.6,15.4,0.995
7/11/2019 7:00,,4.6,15.9,0.995
7/11/2019 8:00,,8.1,16.7,0.995
7/11/2019 9:00,,9.6,17.3,0.995
7/11/2019 10:00,,3.7,17.7,0.995
7/11/2019 11:00,,5.7,19.8,0.995
7/11/2019 12:00,,8,18.3,0.995
7/11/2019 13:00,,-2.2,19.2,0.994
7/11/2019 14:00,,4.8,19.6,0.994
7/11/2019 15:00,,1.6,20.1,0.994
7/11/2019 16:00,,3.9,19.8,0.993
7/11/2019 17:00,,1.7,19.4,0.993
7/11/2019 18:00,,5.1,18.8,0.993
7/11/2019 19:00,,5.4,17.5,0.994
7/11/2019 20:00,,5.9,16.9,0.994
7/11/2019 21:00,,4.1,16.2,0.994
7/11/2019 22:00,,2.4,15.3,0.994
7/11/2019 23:00,,5.7,15.9,0.994
8/11/2019 0:00,,2.7,15.8,0.994
8/11/2019 1:00,,5.9,15.1,0.993
8/11/2019 2:00,,-0.9,14.9,0.992
8/11/2019 3:00,,2.4,14.3,0.992
8/11/2019 4:00,,11.6,14.4,0.992
8/11/2019 5:00,,5.2,13.2,0.993
8/11/2019 6:00,,9,14.2,0.994
8/11/2019 7:00,,8.1,14.4,0.995
8/11/2019 8:00,,6.2,14.7,0.996
8/11/2019 9:00,,11.1,14.3,0.997
8/11/2019 10:00,,6.8,16.1,0.997
8/11/2019 11:00,,,15.3,0.997
8/11/2019 12:00,11.3,,16,1
8/11/2019 13:00,22.1,14.2,15.9,1.001
8/11/2019 14:00,20,10.6,15,1.001
8/11/2019 15:00,19.9,7.6,15,1.001
8/11/2019 16:00,14.7,6.7,15,1.002
8/11/2019 17:00,16.3,4.7,14.9,1.002
8/11/2019 18:00,15.3,7.4,13.8,1.003
8/11/2019 19:00,18.5,8.2,12.9,1.004
8/11/2019 20:00,13.7,4.2,11.8,1.005
8/11/2019 21:00,20.1,5.6,11.1,1.006
8/11/2019 22:00,17,7.6,10.7,1.006
8/11/2019 23:00,13.3,3.1,10.3,1.006
9/11/2019 0:00,20.3,4.4,9.9,1.006
9/11/2019 1:00,19.4,5,9.4,1.006
9/11/2019 2:00,10.2,9.2,9.4,1.006
9/11/2019 3:00,14.2,1.4,9.9,1.006
9/11/2019 4:00,16.8,2.3,10.2,1.006
9/11/2019 5:00,12.8,4.7,10.4,1.006
9/11/2019 6:00,12.5,5.5,10.7,1.006
9/11/2019 7:00,14.7,3.4,11.1,1.007
9/11/2019 8:00,14.2,4.7,12.3,1.007
9/11/2019 9:00,16.4,10,13,1.008
9/11/2019 10:00,10.3,6,14.2,1.008
9/11/2019 11:00,15.6,6.2,15.5,1.007
9/11/2019 12:00,18.3,4.4,14.9,1.007
9/11/2019 13:00,12.6,5.7,15.3,1.007
9/11/2019 14:00,23.8,4.5,15.1,1.006
9/11/2019 15:00,20.8,5.6,14.9,1.006
9/11/2019 16:00,14.6,3.9,15.1,1.006
9/11/2019 17:00,20.3,1,15,1.006
9/11/2019 18:00,19.5,7.2,14.1,1.006
9/11/2019 19:00,18.5,0.4,13.9,1.006
9/11/2019 20:00,26.9,2.6,13.5,1.006
9/11/2019 21:00,21.8,6.5,13.7,1.006
9/11/2019 22:00,13.6,8.5,13.5,1.006
9/11/2019 23:00,18.7,6.7,13.2,1.006
10/11/2019 0:00,14.5,-0.4,13.1,1.006
10/11/2019 1:00,17.8,6.6,12.9,1.005
10/11/2019 2:00,15,3.8,12.7,1.005
10/11/2019 3:00,14.3,5.6,12.7,1.005
10/11/2019 4:00,12.7,3.3,12.5,1.004
10/11/2019 5:00,16,3.1,12.5,1.004
10/11/2019 6:00,14.1,4.3,12.5,1.005
10/11/2019 7:00,13.5,2.7,13,1.005
10/11/2019 8:00,13.1,4.9,13.8,1.005
10/11/2019 9:00,20.6,0.2,14.9,1.005
10/11/2019 10:00,17.3,2.1,18.4,1.005
10/11/2019 11:00,13.7,3.9,20.5,1.005
10/11/2019 12:00,10.3,6.8,20.2,1.004
10/11/2019 13:00,11.4,7,19.6,1.003
10/11/2019 14:00,25.2,3.2,19.9,1.002
10/11/2019 15:00,20.7,2.6,20.2,1.001
10/11/2019 16:00,7.4,0.2,20.8,1
10/11/2019 17:00,9.3,,21.1,1
10/11/2019 18:00,12.2,2.5,20.5,1
10/11/2019 19:00,9.9,4.1,19.6,0.999
10/11/2019 20:00,15.2,3.4,18.2,1
10/11/2019 21:00,9.6,2.2,16.6,1
10/11/2019 22:00,4.8,3.5,15.7,1
10/11/2019 23:00,2.6,-1.8,15.5,0.999
11/11/2019 0:00,4.2,2.5,15.1,0.998
11/11/2019 1:00,7.2,4.8,14.8,0.998
11/11/2019 2:00,8,2.1,14.7,0.996
11/11/2019 3:00,6.9,1.1,14.7,0.995
11/11/2019 4:00,8,-1.9,15.3,0.995
11/11/2019 5:00,5.8,3.5,16,0.995
11/11/2019 6:00,7.2,6.6,16.5,0.996
11/11/2019 7:00,11.6,0.8,18,0.995
11/11/2019 8:00,12.7,2.8,22.8,0.995
11/11/2019 9:00,22.4,9.4,25.1,0.994
11/11/2019 10:00,28.6,4.7,29.9,0.994
11/11/2019 11:00,27.1,3.6,31.3,0.993
11/11/2019 12:00,26.3,6.2,32.2,0.992
11/11/2019 13:00,17.7,3.7,31.4,0.992
11/11/2019 14:00,23.2,6.9,30.1,0.991
